latitude,longitude,depth,mag,event_id,date,tectonic_plate,alert_level,intensity_level,estimated_cost,casualties,injuries,displaced,region
-20.57529807322669,169.0377094055037,10.619808393024359,5.881351721736967,EVT0000001,1987-10-01 14:20:59,Indo-Australian,Orange,5.5,1107381.75,4,10,34,South America
-56.125008124937985,-124.65851198366882,10.555683455352682,5.676913568356604,EVT0000002,1976-03-14 03:36:26,Other,Orange,6.0,1082703.52,5,15,31,Oceania
42.04495083257862,142.23568672131321,58.34676347363096,5.622745993460413,EVT0000003,1993-07-22 03:09:09,Eurasian,Orange,5.6,997132.25,2,12,26,Asia
1.2387469050086932,97.93465907850143,29.41209896283607,6.0307142754282435,EVT0000004,2011-02-04 06:45:10,Other,Orange,5.6,1219711.96,1,16,30,Africa
-15.296455814669528,-175.20294162923926,33.221539973998624,6.4392516765438765,EVT0000005,2009-02-01 12:35:33,Pacific,Orange,5.6,1494786.21,2,11,23,South America
-47.80858951564301,31.915305515283528,9.909668891323212,6.718463385853231,EVT0000006,2008-03-16 18:58:53,Other,Red,6.4,1935493.84,3,12,33,Oceania
38.905443402889766,72.39904673748158,39.86180836871206,5.7259882794248425,EVT0000007,1987-03-26 12:05:49,Eurasian,Orange,5.7,1052219.61,2,7,27,Asia
-21.290663332134326,169.5418854868705,9.47108795339118,5.678182287177731,EVT0000008,1992-11-05 22:28:42,Indo-Australian,Orange,5.6,1028790.56,2,13,25,South America
-34.82577480918156,-107.98052468412489,9.796923399908213,5.9763049289121914,EVT0000009,2015-02-15 03:34:57,Other,Orange,6.2,1319251.04,5,11,36,Oceania
-5.3304971133477395,151.4702998567488,40.27938403573486,5.567954338691573,EVT0000010,2022-08-24 11:48:36,Indo-Australian,Orange,6.0,1036512.17,2,17,32,South America
-29.46876525696679,77.72223628724463,33.09937902942107,6.05219415656169,EVT0000011,1975-05-12 02:10:37,Other,Orange,5.8,1276848.45,6,20,41,South America
-5.363436461863293,145.75344772864642,63.87530230700085,5.5296984673233185,EVT0000012,1994-10-01 03:02:56,Indo-Australian,Orange,4.5,757533.05,4,11,31,South America
53.25359950779819,-163.6238619872242,14.13375774671826,6.725049285034588,EVT0000013,1985-06-19 21:54:35,Pacific,Red,7.1,2175061.81,1,16,31,Asia
-15.093127991428753,-173.2366030364741,33.301059869367606,5.534644820949698,EVT0000014,1997-12-28 06:15:10,Pacific,Orange,5.2,882887.6,0,15,23,South America
13.28349080751429,-90.33153592638155,65.60841868165252,5.431997527842151,EVT0000015,2024-07-24 20:49:36,North American,Yellow,5.2,838950.53,2,15,22,Africa
31.346410969939793,70.25825218826702,37.0693930967442,5.5232253697161005,EVT0000016,2001-07-28 13:57:24,Eurasian,Orange,5.7,947693.49,2,13,21,Asia
1.7480764687730765,126.86957075131257,95.62611412047144,5.6293072473298675,EVT0000017,2006-04-30 13:43:23,Other,Orange,4.2,773118.62,2,9,15,Africa
-57.27470220513976,-142.72347176703934,9.403729325619732,6.128564858197364,EVT0000018,2005-04-11 03:42:52,Pacific,Orange,6.7,1560671.29,6,17,36,Oceania
-59.11890156635125,-16.557866228546477,10.443368213422454,6.786577451114475,EVT0000019,2013-03-19 06:28:34,Other,Red,7.1,2232907.6,10,17,33,Oceania
27.064518934517906,141.36245191913204,46.84947288692464,5.747383292091179,EVT0000020,1984-10-19 08:21:23,Other,Orange,5.0,957537.4,3,14,25,Africa
-13.182379364689378,-76.5783746671021,22.841071938869888,5.8808696502797355,EVT0000021,1978-04-23 18:04:18,South American,Orange,5.8,1179800.02,4,7,23,South America
42.123980229934006,142.6831232648044,63.090593497159865,6.265655360863383,EVT0000022,2011-07-20 21:25:19,Eurasian,Orange,5.8,1431103.79,2,11,15,Asia
-22.61561592816321,174.06570135602067,32.88236755406035,5.502531832977268,EVT0000023,1994-10-19 11:12:48,Indo-Australian,Orange,5.2,876825.52,5,8,22,South America
7.216945515560364,-82.20016391688063,25.778316581653964,6.078708460374245,EVT0000024,1980-12-07 13:19:59,North American,Orange,6.3,1408773.13,5,13,22,Africa
-17.550465963007262,-179.16237614001255,536.7753887773849,5.81585955790074,EVT0000025,1999-02-08 05:16:00,Pacific,Orange,1.2,231615.33,0,3,5,South America
5.414806403170393,-33.06281435495803,9.759316819233515,5.717931768164829,EVT0000026,2013-01-18 00:28:29,Other,Orange,5.6,1030208.03,1,12,33,Africa
51.174614286500194,-175.91378474295564,33.56585577036316,5.996337612924433,EVT0000027,2008-09-18 04:00:59,Pacific,Orange,6.3,1350591.44,3,14,41,Asia
-9.130626656150449,106.56426511721682,32.97766622527015,5.70127809269365,EVT0000028,1977-02-07 08:27:20,Indo-Australian,Orange,5.9,1109986.88,3,10,26,South America
52.33036863541029,-168.65495416263477,50.3180690629823,6.382206015999449,EVT0000029,2020-01-06 16:29:16,Pacific,Orange,6.0,1556438.82,2,14,34,Asia
-10.425027366254414,118.32029171056567,25.090464202700083,5.889679298265395,EVT0000030,1982-03-07 23:03:09,Indo-Australian,Orange,5.7,1161349.16,3,14,23,South America
